group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,len_utf8_at,3,,,895409.0,ns,20235
LimitedWriter,len_utf8_at,3,,,1792471.0,ns,40470
LimitedWriter,len_utf8_at,3,,,2574998.0,ns,60705
LimitedWriter,len_utf8_at,3,,,3418289.0,ns,80940
LimitedWriter,len_utf8_at,3,,,4159628.0,ns,101175
LimitedWriter,len_utf8_at,3,,,4953186.0,ns,121410
LimitedWriter,len_utf8_at,3,,,5715465.0,ns,141645
LimitedWriter,len_utf8_at,3,,,7111853.0,ns,161880
LimitedWriter,len_utf8_at,3,,,8713727.0,ns,182115
LimitedWriter,len_utf8_at,3,,,8437258.0,ns,202350
LimitedWriter,len_utf8_at,3,,,9246475.0,ns,222585
LimitedWriter,len_utf8_at,3,,,9857471.0,ns,242820
LimitedWriter,len_utf8_at,3,,,10731259.0,ns,263055
LimitedWriter,len_utf8_at,3,,,11540957.0,ns,283290
LimitedWriter,len_utf8_at,3,,,12349824.0,ns,303525
LimitedWriter,len_utf8_at,3,,,13178358.0,ns,323760
LimitedWriter,len_utf8_at,3,,,14091438.0,ns,343995
LimitedWriter,len_utf8_at,3,,,15213011.0,ns,364230
LimitedWriter,len_utf8_at,3,,,15705235.0,ns,384465
LimitedWriter,len_utf8_at,3,,,18398984.0,ns,404700
LimitedWriter,len_utf8_at,3,,,17190590.0,ns,424935
LimitedWriter,len_utf8_at,3,,,18879846.0,ns,445170
LimitedWriter,len_utf8_at,3,,,22801188.0,ns,465405
LimitedWriter,len_utf8_at,3,,,20123569.0,ns,485640
LimitedWriter,len_utf8_at,3,,,21071054.0,ns,505875
LimitedWriter,len_utf8_at,3,,,22161189.0,ns,526110
LimitedWriter,len_utf8_at,3,,,26941811.0,ns,546345
LimitedWriter,len_utf8_at,3,,,25512912.0,ns,566580
LimitedWriter,len_utf8_at,3,,,24742578.0,ns,586815
LimitedWriter,len_utf8_at,3,,,29113502.0,ns,607050
LimitedWriter,len_utf8_at,3,,,25939753.0,ns,627285
LimitedWriter,len_utf8_at,3,,,26859527.0,ns,647520
LimitedWriter,len_utf8_at,3,,,27773380.0,ns,667755
LimitedWriter,len_utf8_at,3,,,28025473.0,ns,687990
LimitedWriter,len_utf8_at,3,,,28969953.0,ns,708225
LimitedWriter,len_utf8_at,3,,,29748173.0,ns,728460
LimitedWriter,len_utf8_at,3,,,33117219.0,ns,748695
LimitedWriter,len_utf8_at,3,,,34479484.0,ns,768930
LimitedWriter,len_utf8_at,3,,,38403990.0,ns,789165
LimitedWriter,len_utf8_at,3,,,37002393.0,ns,809400
LimitedWriter,len_utf8_at,3,,,33955640.0,ns,829635
LimitedWriter,len_utf8_at,3,,,34946229.0,ns,849870
LimitedWriter,len_utf8_at,3,,,35511248.0,ns,870105
LimitedWriter,len_utf8_at,3,,,36295368.0,ns,890340
LimitedWriter,len_utf8_at,3,,,38189779.0,ns,910575
LimitedWriter,len_utf8_at,3,,,38244352.0,ns,930810
LimitedWriter,len_utf8_at,3,,,41845804.0,ns,951045
LimitedWriter,len_utf8_at,3,,,40223833.0,ns,971280
LimitedWriter,len_utf8_at,3,,,42125537.0,ns,991515
LimitedWriter,len_utf8_at,3,,,44089339.0,ns,1011750
LimitedWriter,len_utf8_at,3,,,42851238.0,ns,1031985
LimitedWriter,len_utf8_at,3,,,44932631.0,ns,1052220
LimitedWriter,len_utf8_at,3,,,47028831.0,ns,1072455
LimitedWriter,len_utf8_at,3,,,46955393.0,ns,1092690
LimitedWriter,len_utf8_at,3,,,48171563.0,ns,1112925
LimitedWriter,len_utf8_at,3,,,50077506.0,ns,1133160
LimitedWriter,len_utf8_at,3,,,50299041.0,ns,1153395
LimitedWriter,len_utf8_at,3,,,54194815.0,ns,1173630
LimitedWriter,len_utf8_at,3,,,48785164.0,ns,1193865
LimitedWriter,len_utf8_at,3,,,51763368.0,ns,1214100
LimitedWriter,len_utf8_at,3,,,50930606.0,ns,1234335
LimitedWriter,len_utf8_at,3,,,55713172.0,ns,1254570
LimitedWriter,len_utf8_at,3,,,55887188.0,ns,1274805
LimitedWriter,len_utf8_at,3,,,55601302.0,ns,1295040
LimitedWriter,len_utf8_at,3,,,59500664.0,ns,1315275
LimitedWriter,len_utf8_at,3,,,54836639.0,ns,1335510
LimitedWriter,len_utf8_at,3,,,59192886.0,ns,1355745
LimitedWriter,len_utf8_at,3,,,56477665.0,ns,1375980
LimitedWriter,len_utf8_at,3,,,57193938.0,ns,1396215
LimitedWriter,len_utf8_at,3,,,58610835.0,ns,1416450
LimitedWriter,len_utf8_at,3,,,61755791.0,ns,1436685
