group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,len_utf8_at,1,,,1284178.0,ns,21688
LimitedWriter,len_utf8_at,1,,,2228849.0,ns,43376
LimitedWriter,len_utf8_at,1,,,2647383.0,ns,65064
LimitedWriter,len_utf8_at,1,,,3540468.0,ns,86752
LimitedWriter,len_utf8_at,1,,,4424525.0,ns,108440
LimitedWriter,len_utf8_at,1,,,5283907.0,ns,130128
LimitedWriter,len_utf8_at,1,,,6162544.0,ns,151816
LimitedWriter,len_utf8_at,1,,,7385055.0,ns,173504
LimitedWriter,len_utf8_at,1,,,8071142.0,ns,195192
LimitedWriter,len_utf8_at,1,,,8865402.0,ns,216880
LimitedWriter,len_utf8_at,1,,,9648499.0,ns,238568
LimitedWriter,len_utf8_at,1,,,10624910.0,ns,260256
LimitedWriter,len_utf8_at,1,,,12142656.0,ns,281944
LimitedWriter,len_utf8_at,1,,,12993581.0,ns,303632
LimitedWriter,len_utf8_at,1,,,13217961.0,ns,325320
LimitedWriter,len_utf8_at,1,,,14033982.0,ns,347008
LimitedWriter,len_utf8_at,1,,,14947994.0,ns,368696
LimitedWriter,len_utf8_at,1,,,15626267.0,ns,390384
LimitedWriter,len_utf8_at,1,,,18545249.0,ns,412072
LimitedWriter,len_utf8_at,1,,,17865505.0,ns,433760
LimitedWriter,len_utf8_at,1,,,18652951.0,ns,455448
LimitedWriter,len_utf8_at,1,,,19437181.0,ns,477136
LimitedWriter,len_utf8_at,1,,,20483443.0,ns,498824
LimitedWriter,len_utf8_at,1,,,21132460.0,ns,520512
LimitedWriter,len_utf8_at,1,,,24709266.0,ns,542200
LimitedWriter,len_utf8_at,1,,,24987457.0,ns,563888
LimitedWriter,len_utf8_at,1,,,24092580.0,ns,585576
LimitedWriter,len_utf8_at,1,,,25440727.0,ns,607264
LimitedWriter,len_utf8_at,1,,,28297824.0,ns,628952
LimitedWriter,len_utf8_at,1,,,28092098.0,ns,650640
LimitedWriter,len_utf8_at,1,,,27485832.0,ns,672328
LimitedWriter,len_utf8_at,1,,,27969809.0,ns,694016
LimitedWriter,len_utf8_at,1,,,29469240.0,ns,715704
LimitedWriter,len_utf8_at,1,,,30003772.0,ns,737392
LimitedWriter,len_utf8_at,1,,,31220963.0,ns,759080
LimitedWriter,len_utf8_at,1,,,33119694.0,ns,780768
LimitedWriter,len_utf8_at,1,,,37218749.0,ns,802456
LimitedWriter,len_utf8_at,1,,,34995289.0,ns,824144
LimitedWriter,len_utf8_at,1,,,39179134.0,ns,845832
LimitedWriter,len_utf8_at,1,,,37935712.0,ns,867520
LimitedWriter,len_utf8_at,1,,,37601186.0,ns,889208
LimitedWriter,len_utf8_at,1,,,38332527.0,ns,910896
LimitedWriter,len_utf8_at,1,,,39515977.0,ns,932584
LimitedWriter,len_utf8_at,1,,,42687843.0,ns,954272
LimitedWriter,len_utf8_at,1,,,41042107.0,ns,975960
LimitedWriter,len_utf8_at,1,,,46116190.0,ns,997648
LimitedWriter,len_utf8_at,1,,,45870409.0,ns,1019336
LimitedWriter,len_utf8_at,1,,,49345093.0,ns,1041024
LimitedWriter,len_utf8_at,1,,,49405377.0,ns,1062712
LimitedWriter,len_utf8_at,1,,,47945610.0,ns,1084400
LimitedWriter,len_utf8_at,1,,,49960207.0,ns,1106088
LimitedWriter,len_utf8_at,1,,,50180189.0,ns,1127776
LimitedWriter,len_utf8_at,1,,,55552272.0,ns,1149464
LimitedWriter,len_utf8_at,1,,,50070444.0,ns,1171152
LimitedWriter,len_utf8_at,1,,,51975055.0,ns,1192840
LimitedWriter,len_utf8_at,1,,,52746321.0,ns,1214528
LimitedWriter,len_utf8_at,1,,,53838108.0,ns,1236216
LimitedWriter,len_utf8_at,1,,,53502709.0,ns,1257904
LimitedWriter,len_utf8_at,1,,,54911149.0,ns,1279592
LimitedWriter,len_utf8_at,1,,,57513659.0,ns,1301280
LimitedWriter,len_utf8_at,1,,,57925440.0,ns,1322968
LimitedWriter,len_utf8_at,1,,,57180414.0,ns,1344656
LimitedWriter,len_utf8_at,1,,,58085841.0,ns,1366344
LimitedWriter,len_utf8_at,1,,,56617558.0,ns,1388032
LimitedWriter,len_utf8_at,1,,,58704080.0,ns,1409720
LimitedWriter,len_utf8_at,1,,,64243406.0,ns,1431408
LimitedWriter,len_utf8_at,1,,,59347487.0,ns,1453096
LimitedWriter,len_utf8_at,1,,,60946194.0,ns,1474784
LimitedWriter,len_utf8_at,1,,,61571296.0,ns,1496472
LimitedWriter,len_utf8_at,1,,,63937292.0,ns,1518160
LimitedWriter,len_utf8_at,1,,,63414973.0,ns,1539848
LimitedWriter,len_utf8_at,1,,,64534591.0,ns,1561536
LimitedWriter,len_utf8_at,1,,,71468602.0,ns,1583224
LimitedWriter,len_utf8_at,1,,,67593276.0,ns,1604912
LimitedWriter,len_utf8_at,1,,,76578522.0,ns,1626600
LimitedWriter,len_utf8_at,1,,,72285393.0,ns,1648288
LimitedWriter,len_utf8_at,1,,,70253774.0,ns,1669976
LimitedWriter,len_utf8_at,1,,,72410146.0,ns,1691664
LimitedWriter,len_utf8_at,1,,,71115260.0,ns,1713352
LimitedWriter,len_utf8_at,1,,,70317553.0,ns,1735040
LimitedWriter,len_utf8_at,1,,,70789538.0,ns,1756728
LimitedWriter,len_utf8_at,1,,,73250021.0,ns,1778416
LimitedWriter,len_utf8_at,1,,,75500020.0,ns,1800104
LimitedWriter,len_utf8_at,1,,,75143692.0,ns,1821792
LimitedWriter,len_utf8_at,1,,,75593084.0,ns,1843480
LimitedWriter,len_utf8_at,1,,,75768243.0,ns,1865168
LimitedWriter,len_utf8_at,1,,,82936632.0,ns,1886856
LimitedWriter,len_utf8_at,1,,,77429818.0,ns,1908544
LimitedWriter,len_utf8_at,1,,,81454875.0,ns,1930232
LimitedWriter,len_utf8_at,1,,,82060129.0,ns,1951920
LimitedWriter,len_utf8_at,1,,,82149828.0,ns,1973608
LimitedWriter,len_utf8_at,1,,,79908585.0,ns,1995296
LimitedWriter,len_utf8_at,1,,,87700664.0,ns,2016984
LimitedWriter,len_utf8_at,1,,,89262443.0,ns,2038672
LimitedWriter,len_utf8_at,1,,,86097899.0,ns,2060360
LimitedWriter,len_utf8_at,1,,,93694061.0,ns,2082048
LimitedWriter,len_utf8_at,1,,,93297458.0,ns,2103736
LimitedWriter,len_utf8_at,1,,,96832906.0,ns,2125424
LimitedWriter,len_utf8_at,1,,,86721809.0,ns,2147112
LimitedWriter,len_utf8_at,1,,,90212784.0,ns,2168800
