group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,char_indices,6,,,891862.0,ns,19986
LimitedWriter,char_indices,6,,,1757956.0,ns,39972
LimitedWriter,char_indices,6,,,2634199.0,ns,59958
LimitedWriter,char_indices,6,,,3331105.0,ns,79944
LimitedWriter,char_indices,6,,,4138058.0,ns,99930
LimitedWriter,char_indices,6,,,5269510.0,ns,119916
LimitedWriter,char_indices,6,,,5764026.0,ns,139902
LimitedWriter,char_indices,6,,,6781986.0,ns,159888
LimitedWriter,char_indices,6,,,7867319.0,ns,179874
LimitedWriter,char_indices,6,,,9176113.0,ns,199860
LimitedWriter,char_indices,6,,,9317619.0,ns,219846
LimitedWriter,char_indices,6,,,9964882.0,ns,239832
LimitedWriter,char_indices,6,,,11066047.0,ns,259818
LimitedWriter,char_indices,6,,,11611319.0,ns,279804
LimitedWriter,char_indices,6,,,12624028.0,ns,299790
LimitedWriter,char_indices,6,,,13676170.0,ns,319776
LimitedWriter,char_indices,6,,,14417500.0,ns,339762
LimitedWriter,char_indices,6,,,15437823.0,ns,359748
LimitedWriter,char_indices,6,,,15717407.0,ns,379734
LimitedWriter,char_indices,6,,,16963533.0,ns,399720
LimitedWriter,char_indices,6,,,17613922.0,ns,419706
LimitedWriter,char_indices,6,,,18249946.0,ns,439692
LimitedWriter,char_indices,6,,,19072357.0,ns,459678
LimitedWriter,char_indices,6,,,20046253.0,ns,479664
LimitedWriter,char_indices,6,,,20740986.0,ns,499650
LimitedWriter,char_indices,6,,,21571863.0,ns,519636
LimitedWriter,char_indices,6,,,22816086.0,ns,539622
LimitedWriter,char_indices,6,,,24429361.0,ns,559608
LimitedWriter,char_indices,6,,,24307843.0,ns,579594
LimitedWriter,char_indices,6,,,25351349.0,ns,599580
LimitedWriter,char_indices,6,,,25635231.0,ns,619566
LimitedWriter,char_indices,6,,,27982692.0,ns,639552
LimitedWriter,char_indices,6,,,32180252.0,ns,659538
LimitedWriter,char_indices,6,,,29167795.0,ns,679524
LimitedWriter,char_indices,6,,,29653054.0,ns,699510
LimitedWriter,char_indices,6,,,30475707.0,ns,719496
LimitedWriter,char_indices,6,,,30903038.0,ns,739482
LimitedWriter,char_indices,6,,,31996377.0,ns,759468
LimitedWriter,char_indices,6,,,32646406.0,ns,779454
LimitedWriter,char_indices,6,,,37214159.0,ns,799440
LimitedWriter,char_indices,6,,,36072259.0,ns,819426
LimitedWriter,char_indices,6,,,37129049.0,ns,839412
LimitedWriter,char_indices,6,,,37666888.0,ns,859398
LimitedWriter,char_indices,6,,,37322984.0,ns,879384
LimitedWriter,char_indices,6,,,38234542.0,ns,899370
LimitedWriter,char_indices,6,,,44338345.0,ns,919356
LimitedWriter,char_indices,6,,,40185921.0,ns,939342
LimitedWriter,char_indices,6,,,41175296.0,ns,959328
LimitedWriter,char_indices,6,,,42875463.0,ns,979314
LimitedWriter,char_indices,6,,,42050616.0,ns,999300
LimitedWriter,char_indices,6,,,44212279.0,ns,1019286
LimitedWriter,char_indices,6,,,44207290.0,ns,1039272
LimitedWriter,char_indices,6,,,44684736.0,ns,1059258
LimitedWriter,char_indices,6,,,45854318.0,ns,1079244
LimitedWriter,char_indices,6,,,47419623.0,ns,1099230
LimitedWriter,char_indices,6,,,47260825.0,ns,1119216
LimitedWriter,char_indices,6,,,53485505.0,ns,1139202
LimitedWriter,char_indices,6,,,49788834.0,ns,1159188
LimitedWriter,char_indices,6,,,48997200.0,ns,1179174
LimitedWriter,char_indices,6,,,49805787.0,ns,1199160
LimitedWriter,char_indices,6,,,50643596.0,ns,1219146
LimitedWriter,char_indices,6,,,52154340.0,ns,1239132
LimitedWriter,char_indices,6,,,54843731.0,ns,1259118
LimitedWriter,char_indices,6,,,54140914.0,ns,1279104
LimitedWriter,char_indices,6,,,54770744.0,ns,1299090
LimitedWriter,char_indices,6,,,55157981.0,ns,1319076
LimitedWriter,char_indices,6,,,56111589.0,ns,1339062
LimitedWriter,char_indices,6,,,57981124.0,ns,1359048
LimitedWriter,char_indices,6,,,57843916.0,ns,1379034
LimitedWriter,char_indices,6,,,58327744.0,ns,1399020
LimitedWriter,char_indices,6,,,60878306.0,ns,1419006
LimitedWriter,char_indices,6,,,61322107.0,ns,1438992
LimitedWriter,char_indices,6,,,61458703.0,ns,1458978
LimitedWriter,char_indices,6,,,62174185.0,ns,1478964
LimitedWriter,char_indices,6,,,63069633.0,ns,1498950
LimitedWriter,char_indices,6,,,63251995.0,ns,1518936
LimitedWriter,char_indices,6,,,64858647.0,ns,1538922
LimitedWriter,char_indices,6,,,65743326.0,ns,1558908
LimitedWriter,char_indices,6,,,66764751.0,ns,1578894
LimitedWriter,char_indices,6,,,68085066.0,ns,1598880
LimitedWriter,char_indices,6,,,67243108.0,ns,1618866
LimitedWriter,char_indices,6,,,67825911.0,ns,1638852
LimitedWriter,char_indices,6,,,69950183.0,ns,1658838
LimitedWriter,char_indices,6,,,70845822.0,ns,1678824
LimitedWriter,char_indices,6,,,73030829.0,ns,1698810
LimitedWriter,char_indices,6,,,73597771.0,ns,1718796
LimitedWriter,char_indices,6,,,74719505.0,ns,1738782
LimitedWriter,char_indices,6,,,75031499.0,ns,1758768
LimitedWriter,char_indices,6,,,74786680.0,ns,1778754
LimitedWriter,char_indices,6,,,76851803.0,ns,1798740
LimitedWriter,char_indices,6,,,77075883.0,ns,1818726
LimitedWriter,char_indices,6,,,77770435.0,ns,1838712
LimitedWriter,char_indices,6,,,77751188.0,ns,1858698
LimitedWriter,char_indices,6,,,79423805.0,ns,1878684
LimitedWriter,char_indices,6,,,79925985.0,ns,1898670
LimitedWriter,char_indices,6,,,80276133.0,ns,1918656
LimitedWriter,char_indices,6,,,80705767.0,ns,1938642
LimitedWriter,char_indices,6,,,82818017.0,ns,1958628
LimitedWriter,char_indices,6,,,83530885.0,ns,1978614
LimitedWriter,char_indices,6,,,83118662.0,ns,1998600
