group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,len_utf8_at,1,,,1258809.0,ns,24496
LimitedWriter,len_utf8_at,1,,,2446415.0,ns,48992
LimitedWriter,len_utf8_at,1,,,3666092.0,ns,73488
LimitedWriter,len_utf8_at,1,,,4808494.0,ns,97984
LimitedWriter,len_utf8_at,1,,,5248068.0,ns,122480
LimitedWriter,len_utf8_at,1,,,5994527.0,ns,146976
LimitedWriter,len_utf8_at,1,,,7038503.0,ns,171472
LimitedWriter,len_utf8_at,1,,,8054177.0,ns,195968
LimitedWriter,len_utf8_at,1,,,9132969.0,ns,220464
LimitedWriter,len_utf8_at,1,,,10243151.0,ns,244960
LimitedWriter,len_utf8_at,1,,,11179856.0,ns,269456
LimitedWriter,len_utf8_at,1,,,12036121.0,ns,293952
LimitedWriter,len_utf8_at,1,,,13141674.0,ns,318448
LimitedWriter,len_utf8_at,1,,,14227239.0,ns,342944
LimitedWriter,len_utf8_at,1,,,15415686.0,ns,367440
LimitedWriter,len_utf8_at,1,,,16643398.0,ns,391936
LimitedWriter,len_utf8_at,1,,,17373246.0,ns,416432
LimitedWriter,len_utf8_at,1,,,18407614.0,ns,440928
LimitedWriter,len_utf8_at,1,,,19353497.0,ns,465424
LimitedWriter,len_utf8_at,1,,,20911970.0,ns,489920
LimitedWriter,len_utf8_at,1,,,22117738.0,ns,514416
LimitedWriter,len_utf8_at,1,,,22376845.0,ns,538912
LimitedWriter,len_utf8_at,1,,,23471997.0,ns,563408
LimitedWriter,len_utf8_at,1,,,24471090.0,ns,587904
LimitedWriter,len_utf8_at,1,,,24927066.0,ns,612400
LimitedWriter,len_utf8_at,1,,,25952647.0,ns,636896
LimitedWriter,len_utf8_at,1,,,27760566.0,ns,661392
LimitedWriter,len_utf8_at,1,,,28357495.0,ns,685888
LimitedWriter,len_utf8_at,1,,,29636443.0,ns,710384
LimitedWriter,len_utf8_at,1,,,30185642.0,ns,734880
LimitedWriter,len_utf8_at,1,,,31093925.0,ns,759376
LimitedWriter,len_utf8_at,1,,,32452131.0,ns,783872
LimitedWriter,len_utf8_at,1,,,33495957.0,ns,808368
LimitedWriter,len_utf8_at,1,,,34290276.0,ns,832864
LimitedWriter,len_utf8_at,1,,,35482921.0,ns,857360
LimitedWriter,len_utf8_at,1,,,36374923.0,ns,881856
LimitedWriter,len_utf8_at,1,,,37979982.0,ns,906352
LimitedWriter,len_utf8_at,1,,,38486542.0,ns,930848
LimitedWriter,len_utf8_at,1,,,39215728.0,ns,955344
LimitedWriter,len_utf8_at,1,,,40665526.0,ns,979840
LimitedWriter,len_utf8_at,1,,,41001877.0,ns,1004336
LimitedWriter,len_utf8_at,1,,,42303717.0,ns,1028832
LimitedWriter,len_utf8_at,1,,,43893327.0,ns,1053328
LimitedWriter,len_utf8_at,1,,,44778596.0,ns,1077824
LimitedWriter,len_utf8_at,1,,,45719480.0,ns,1102320
LimitedWriter,len_utf8_at,1,,,46192857.0,ns,1126816
LimitedWriter,len_utf8_at,1,,,47488085.0,ns,1151312
LimitedWriter,len_utf8_at,1,,,48444518.0,ns,1175808
LimitedWriter,len_utf8_at,1,,,49809426.0,ns,1200304
LimitedWriter,len_utf8_at,1,,,50402858.0,ns,1224800
LimitedWriter,len_utf8_at,1,,,51324477.0,ns,1249296
LimitedWriter,len_utf8_at,1,,,52504999.0,ns,1273792
LimitedWriter,len_utf8_at,1,,,53811317.0,ns,1298288
LimitedWriter,len_utf8_at,1,,,54147308.0,ns,1322784
LimitedWriter,len_utf8_at,1,,,55574182.0,ns,1347280
LimitedWriter,len_utf8_at,1,,,57303975.0,ns,1371776
LimitedWriter,len_utf8_at,1,,,59341854.0,ns,1396272
LimitedWriter,len_utf8_at,1,,,60119823.0,ns,1420768
LimitedWriter,len_utf8_at,1,,,61106252.0,ns,1445264
LimitedWriter,len_utf8_at,1,,,60404667.0,ns,1469760
LimitedWriter,len_utf8_at,1,,,60735076.0,ns,1494256
LimitedWriter,len_utf8_at,1,,,61785715.0,ns,1518752
LimitedWriter,len_utf8_at,1,,,62696422.0,ns,1543248
LimitedWriter,len_utf8_at,1,,,63730581.0,ns,1567744
LimitedWriter,len_utf8_at,1,,,64734262.0,ns,1592240
LimitedWriter,len_utf8_at,1,,,65761608.0,ns,1616736
LimitedWriter,len_utf8_at,1,,,66677255.0,ns,1641232
LimitedWriter,len_utf8_at,1,,,67799718.0,ns,1665728
LimitedWriter,len_utf8_at,1,,,68253459.0,ns,1690224
LimitedWriter,len_utf8_at,1,,,67999844.0,ns,1714720
LimitedWriter,len_utf8_at,1,,,69670996.0,ns,1739216
LimitedWriter,len_utf8_at,1,,,70986963.0,ns,1763712
LimitedWriter,len_utf8_at,1,,,72118624.0,ns,1788208
LimitedWriter,len_utf8_at,1,,,73061702.0,ns,1812704
LimitedWriter,len_utf8_at,1,,,73943545.0,ns,1837200
LimitedWriter,len_utf8_at,1,,,74698880.0,ns,1861696
LimitedWriter,len_utf8_at,1,,,75375349.0,ns,1886192
LimitedWriter,len_utf8_at,1,,,77094271.0,ns,1910688
LimitedWriter,len_utf8_at,1,,,77715255.0,ns,1935184
LimitedWriter,len_utf8_at,1,,,78341108.0,ns,1959680
LimitedWriter,len_utf8_at,1,,,80073726.0,ns,1984176
LimitedWriter,len_utf8_at,1,,,80621854.0,ns,2008672
